البوابة	الفحص	الحكم	التفصيل
المجلد-السادس/الباب-السادس/ف02-على-قدر-العقول.md	87	يحتاج إلى تحقق	الجاحظ، البيان والتبيين، تحقيق عبد السلام هارون، ج١؛ يحتاج إلى تحقق من الصفحة واللفظ
المجلد-السادس/الباب-السادس/ف02-على-قدر-العقول.md	91	تحليل حديث	تحليل حديث
المجلد-السادس/الباب-السادس/ف02-على-قدر-العقول.md	93	استنباط تربوي	استنباط تربوي
المجلد-السادس/الباب-السادس/ف02-على-قدر-العقول.md	366	استنباط تربوي	استنباط تربوي
المجلد-السادس/الباب-السادس/ف02-على-قدر-العقول.md	370	استنباط تربوي	استنباط تربوي
المجلد-السادس/الباب-السادس/ف02-على-قدر-العقول.md	401	يحتاج إلى تحقق	يحتاج إلى تحقق من الصفحة
المجلد-السادس/الباب-السادس/ف03-المدح-والشكر-والدعاء.md	73	يحتاج إلى تحقق	النووي، شرح صحيح مسلم، كتاب الزهد؛ يحتاج إلى تحقق من الصفحة
المجلد-السادس/الباب-السادس/ف03-المدح-والشكر-والدعاء.md	75	استنباط تربوي	استنباط تربوي
المجلد-السادس/الباب-السادس/ف03-المدح-والشكر-والدعاء.md	82	يحتاج إلى تحقق	الغزالي، إحياء علوم الدين، كتاب آفات اللسان؛ يحتاج إلى تحقق من الصفحة
المجلد-السادس/الباب-السادس/ف03-المدح-والشكر-والدعاء.md	84	يحتاج إلى تحقق	ينقل ابن حجر في «فتح الباري»، كتاب الأدب، باب المداراة مع الناس، كلامًا للعلماء في هذا الفرق؛ يحتاج إلى تحقق من المصدر واللفظ
المجلد-السادس/الباب-السادس/ف03-المدح-والشكر-والدعاء.md	95	تحليل حديث	تحليل حديث
المجلد-السادس/الباب-السادس/ف03-المدح-والشكر-والدعاء.md	175	استنباط تربوي	استنباط تربوي
المجلد-السادس/الباب-السادس/ف03-المدح-والشكر-والدعاء.md	215	استنباط تربوي	استنباط تربوي
المجلد-السادس/الباب-السادس/ف03-المدح-والشكر-والدعاء.md	217	استنباط تربوي	استنباط تربوي
المجلد-السادس/الباب-السادس/ف03-المدح-والشكر-والدعاء.md	247	يحتاج إلى تحقق	يحتاج إلى تحقق من رقم الحديث ولفظ الحكم
المجلد-السادس/الباب-السادس/ف03-المدح-والشكر-والدعاء.md	249	يحتاج إلى تحقق	يحتاج إلى تحقق من رقم الحديث والحكم
المجلد-السادس/الباب-السادس/ف03-المدح-والشكر-والدعاء.md	257	استنباط تربوي	استنباط تربوي
المجلد-السادس/الباب-السادس/ف03-المدح-والشكر-والدعاء.md	401	استنباط تربوي	استنباط تربوي
المجلد-السادس/الباب-السادس/ف03-المدح-والشكر-والدعاء.md	461	استنباط تربوي	استنباط تربوي
المجلد-السادس/الباب-السادس/ف03-المدح-والشكر-والدعاء.md	463	أخرى	يُعرض على المراجع الشرعي
المجلد-السادس/الباب-السادس/ف04-أ-المدخل-والدرس-الأول.md	60	استنباط تربوي	استنباط تربوي
المجلد-السادس/الباب-السادس/ف04-أ-المدخل-والدرس-الأول.md	62	استنباط تربوي	استنباط تربوي
المجلد-السادس/الباب-السادس/ف04-ب-الدرس-الثاني.md	20	استنباط تربوي	استنباط تربوي
المجلد-السادس/الباب-السادس/ف05-أ-المدخل-والدرس-الأول.md	56	استنباط تربوي	استنباط تربوي
المجلد-السادس/الباب-السادس/ف05-أ-المدخل-والدرس-الأول.md	64	استنباط تربوي	استنباط تربوي
المجلد-السادس/الباب-السادس/ف05-ب-الدرس-الثاني.md	29	يحتاج إلى تحقق	يحتاج إلى تحقق من الإسناد
المجلد-السادس/الباب-السادس/ف06-أ-المدخل-والدرس-الأول.md	51	يحتاج إلى تحقق	يحتاج إلى تحقق من الصفحة بحسب الطبعة المعتمدة
المجلد-السادس/الباب-السادس/ف06-أ-المدخل-والدرس-الأول.md	65	استنباط تربوي	استنباط تربوي
المجلد-السادس/الباب-السادس/ف06-أ-المدخل-والدرس-الأول.md	75	يحتاج إلى تحقق	يحتاج إلى تحقق من المصدر
المجلد-السادس/الباب-السادس/ف06-أ-المدخل-والدرس-الأول.md	75	استنباط تربوي	استنباط تربوي
المجلد-السادس/الباب-السادس/ف06-أ-المدخل-والدرس-الأول.md	81	استنباط تربوي	استنباط تربوي
المجلد-السادس/الباب-السادس/ف06-أ-المدخل-والدرس-الأول.md	87	يحتاج إلى تحقق	يحتاج إلى تحقق من رقم الحديث والحكم
المجلد-السادس/الباب-السادس/ف06-أ-المدخل-والدرس-الأول.md	91	يحتاج إلى تحقق	يحتاج إلى تحقق من المصدر
المجلد-السادس/الباب-السادس/ف06-أ-المدخل-والدرس-الأول.md	91	يحتاج إلى تحقق	الذهبي، سير أعلام النبلاء؛ يحتاج إلى تحقق من الموضع واللفظ
المجلد-السادس/الباب-السادس/ف06-أ-المدخل-والدرس-الأول.md	93	يحتاج إلى تحقق	يحتاج إلى تحقق من المصدر
المجلد-السادس/الباب-السادس/ف06-أ-المدخل-والدرس-الأول.md	176	أداة تدريبية من إنشاء الكتاب	أداة تدريبية من إنشاء الكتاب
المجلد-السادس/الباب-السادس/ف06-أ-المدخل-والدرس-الأول.md	361	تحليل حديث	تحليل حديث
المجلد-السادس/الباب-السادس/ف06-أ-المدخل-والدرس-الأول.md	363	استنباط تربوي	استنباط تربوي
المجلد-السادس/الباب-السادس/ف06-ب-الدرس-الثاني.md	118	يحتاج إلى تحقق	يحتاج إلى تحقق من المصدر
المجلد-السادس/الباب-السادس/ف06-ج-التطبيق-والتقويم.md	69	يحتاج إلى تحقق	يحتاج إلى تحقق من الموضع
المجلد-السادس/الباب-السادس/ف07-أ-المدخل-والدرس-الأول.md	66	استنباط تربوي	استنباط تربوي
المجلد-السادس/الباب-السادس/ف07-أ-المدخل-والدرس-الأول.md	74	استنباط تربوي	استنباط تربوي
المجلد-السادس/الباب-السادس/ف07-أ-المدخل-والدرس-الأول.md	82	استنباط تربوي	استنباط تربوي
المجلد-السادس/الباب-السادس/ف07-أ-المدخل-والدرس-الأول.md	90	يحتاج إلى تحقق	يحتاج إلى تحقق من المصدر
المجلد-السادس/الباب-السادس/ف07-أ-المدخل-والدرس-الأول.md	90	يحتاج إلى تحقق	سيرة ابن هشام؛ يحتاج إلى تحقق من المصدر والإسناد
المجلد-السادس/الباب-السادس/ف07-أ-المدخل-والدرس-الأول.md	198	يحتاج إلى تحقق	يحتاج إلى تحقق من رقم الحديث
المجلد-السادس/الباب-السادس/ف07-أ-المدخل-والدرس-الأول.md	279	استنباط تربوي	استنباط تربوي
المجلد-السادس/الباب-السادس/ف08-أ-المدخل-والدرس-الأول.md	56	استنباط تربوي	استنباط تربوي
المجلد-السادس/الباب-السادس/ف08-أ-المدخل-والدرس-الأول.md	58	استنباط تربوي	استنباط تربوي
المجلد-السادس/الباب-السادس/ف08-ب-الدرس-الثاني.md	94	تحليل حديث	تحليل حديث
المجلد-السادس/الباب-السادس/ف08-ب-الدرس-الثاني.md	96	استنباط تربوي	استنباط تربوي
المجلد-السادس/الباب-السادس/ف08-ب-الدرس-الثاني.md	98	تحليل حديث	تحليل حديث
المجلد-السادس/الباب-السادس/ف09-ب-الدرس-الثاني.md	89	تحليل حديث	تحليل حديث
المجلد-السادس/الباب-السادس/ف09-ب-الدرس-الثاني.md	91	استنباط تربوي	استنباط تربوي
